Rk,Player,From,To,Draft,Tm,Lg,Ht,Wt,BMI,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,Y/G,W,L,T,Yrs,PB,AP1,AV
466,Nate Sudfeld,2017,2018,6,PHI,NFL,78,227,26.2,1,0,19,23,82.61,134,0,0,90.9,5.83,134,,,,2,0,0,1
467,Kevin Sweeney,1987,1988,7,DAL,NFL,72,191,25.9,6,4,47,106,44.34,605,7,6,61.2,5.71,100.8,2,2,0,2,0,0,2
468,Ryan Tannehill,2012,2018,1,MIA,NFL,76,207,25.2,77,77,1653,2637,62.68,18455,106,66,86.5,7,239.7,37,40,0,6,0,0,55
469,Alex Tanney,2012,2018,,TOT,NFL,76,220,26.8,1,0,10,14,71.43,99,1,0,114.9,7.07,99,0,0,,4,0,0,0
470,Jim Bob Taylor,1983,1983,11,CLT,NFL,74,205,26.3,8,0,1,2,50,20,0,1,45.8,10,2.5,0,0,0,1,0,0,0
471,Troy Taylor,1990,1991,2,NYJ,NFL,76,200,24.3,7,0,12,20,60,125,2,1,90.6,6.25,17.9,0,0,0,2,0,0,0
472,Tim Tebow,2010,2012,1,TOT,NFL,74,236,30.3,35,16,173,361,47.92,2422,17,9,75.3,6.71,69.2,8,6,0,3,0,0,12
473,Tyler Thigpen,2007,2014,7,TOT,NFL,75,235,29.4,29,12,275,509,54.03,3222,21,18,72.5,6.33,111.1,1,11,0,7,0,0,10
474,Logan Thomas,2014,2018,4,TOT,NFL,78,250,28.9,14,2,1,9,11.11,81,1,0,101.6,9,5.8,,,,3,0,0,1
475,Jack Thompson,1983,1984,1,TAM,NFL,75,217,27.1,19,16,274,475,57.68,3243,20,26,69.8,6.83,170.7,3,13,0,2,0,0,8
476,Kevin Thompson,2000,2000,,CLE,NFL,77,236,28,1,0,1,1,100,8,0,0,100,8,8,0,0,0,1,0,0,0
477,Scott Tinsley,1987,1987,,PHI,NFL,74,195,25,3,3,48,86,55.81,637,3,4,71.7,7.41,212.3,0,3,0,1,0,0,2
478,Richard Todd,1983,1985,1,TOT,NFL,74,207,26.6,33,30,485,862,56.26,5847,32,49,65.9,6.78,177.2,13,17,0,3,0,0,15
479,Billy Joe Tolliver,1989,1999,2,TOT,NFL,73,217,28.6,79,47,891,1707,52.2,10760,59,64,67.7,6.3,136.2,15,32,0,9,0,0,29
480,Scott Tolzien,2012,2017,,TOT,NFL,75,205,25.6,10,4,88,146,60.27,1065,2,9,61.6,7.29,106.5,0,3,1,6,0,0,3
481,Mike Tomczak,1985,1999,,TOT,NFL,73,202,26.6,185,73,1248,2337,53.4,16079,88,106,68.9,6.88,86.9,42,31,0,15,0,0,57
482,Gino Torretta,1993,1996,7,TOT,NFL,74,215,27.6,2,0,5,16,31.25,41,1,1,35.4,2.56,20.5,0,0,0,2,0,0,0
483,Willie Totten,1987,1987,,BUF,NFL,74,195,25,2,1,13,33,39.39,155,2,2,49.4,4.7,77.5,0,1,0,1,0,0,0
484,Mitch Trubisky,2017,2018,1,CHI,NFL,75,222,27.7,12,12,196,330,59.39,2193,7,7,77.5,6.65,182.8,4,8,0,2,0,0,7
485,Jack Trudeau,1986,1995,2,TOT,NFL,75,227,28.4,67,49,873,1644,53.1,10243,42,69,63.3,6.23,152.9,19,30,0,10,0,0,25
486,Jeff Tuel,2013,2014,,BUF,NFL,75,218,27.2,2,1,26,59,44.07,309,1,3,45.1,5.24,154.5,0,1,0,2,0,0,1
487,Marques Tuiasosopo,2001,2008,2,RAI,NFL,73,220,29,13,2,49,90,54.44,554,2,7,48.1,6.16,42.6,0,2,0,6,0,0,1
488,Ricky Turner,1988,1988,,CLT,NFL,72,190,25.8,4,0,3,4,75,92,0,0,116.7,23,23,0,0,0,1,0,0,1
